"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"1","The Declaration of Independence of the United States of America","Thomas Jefferson","","https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence","1776"
"2","The United States Bill of Rights","United States","","https://en.wikipedia.org/wiki/United_States_Bill_of_Rights","1791"
"4","Lincoln's Gettysburg Address","Abraham Lincoln","","https://en.wikipedia.org/wiki/Gettysburg_Address","1863"
"5","The United States Constitution","United States","","https://en.wikipedia.org/wiki/Constitution_of_the_United_States","1789"
"7","The Mayflower Compact","","","https://en.wikipedia.org/wiki/Mayflower_Compact","1620"
"8","Abraham Lincoln's Second Inaugural Address","Abraham Lincoln","","https://en.wikipedia.org/wiki/Abraham_Lincoln%27s_second_inaugural_address","1865"
"10","The King James Version of the Bible","","","https://en.wikipedia.org/wiki/King_James_Version","1611"
"11","Alice's Adventures in Wonderland","Lewis Carroll","","https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland","1865"
"12","Through the Looking-Glass","Lewis Carroll","","https://en.wikipedia.org/wiki/Through_the_Looking-Glass","1871"
"13","The Hunting of the Snark: An Agony in Eight Fits","Lewis Carroll","","https://en.wikipedia.org/wiki/The_Hunting_of_the_Snark","1876"
"15","Mo","-Dick; or, The Whale ","","https://en.wikipedia.org/wiki/Moby-Dick","1851"
"16","Peter Pan","J. M. Barrie","","https://en.wikipedia.org/wiki/Peter_and_Wendy","1904"
"17","The Book of Mormon : an account written","the hand of Mormon, upon plates…","","https://en.wikipedia.org/wiki/Book_of_Mormon","1830"
"18","The Federalist Papers","Alexander Hamilton, John Jay, and James Madison","","https://en.wikipedia.org/wiki/The_Federalist_Papers","1787"
"19","The Song of Hiawatha","Henry Wadsworth Longfellow","","https://en.wikipedia.org/wiki/The_Song_of_Hiawatha","1855"
"20","Paradise Lost","John Milton","","https://en.wikipedia.org/wiki/Paradise_Lost","1667"
"22","Roget's Thesaurus","Peter Mark Roget","","https://en.wikipedia.org/wiki/Roget%27s_Thesaurus","1805"
"23","Narrative of the Life of Frederick Douglass, an American Slave","Douglass","","https://en.wikipedia.org/wiki/Narrative_of_the_Life_of_Frederick_Douglass","1845"
"24","O Pioneers!","Willa Cather","","https://en.wikipedia.org/wiki/O_Pioneers!","1913"
"26","Paradise Lost","John Milton","","https://en.wikipedia.org/wiki/Paradise_Lost","1667"
"27","Far from the Madding Crowd","Thomas Hardy","","https://en.wikipedia.org/wiki/Far_from_the_Madding_Crowd","1874"
"28","The Fables of Aesop","Aesop","","https://en.wikipedia.org/wiki/Aesop%27s_Fables","1992"
"29","The 1990 United States Census","United States. Bureau of the Census","","https://en.wikipedia.org/wiki/1990_United_States_census","1990"
"30","The Bible, King James Version, Complete","","","https://en.wikipedia.org/wiki/King_James_Version","1611"
"32","Herland","Charlotte Perkins Gilman","","https://en.wikipedia.org/wiki/Herland_(novel)","1979"
"33","The Scarlet Letter","Nathaniel Hawthorne","","https://en.wikipedia.org/wiki/The_Scarlet_Letter","1850"
"35","The Time Machine","H. G. Wells","","https://en.wikipedia.org/wiki/The_Time_Machine","1895"
"36","The War of the Worlds","H. G. Wells","","https://en.wikipedia.org/wiki/The_War_of_the_Worlds","1898"
"37","The 1990 United States Census [2nd]","United States. Bureau of the Census","","https://en.wikipedia.org/wiki/1990_United_States_census","1990"
